"survived","pclass","sex","age","sibsp","parch","cabin","embarked","fare"
0,3,"male",11,5,2,"Unknown","S",46.9
0,3,"male",22,0,0,"Unknown","C",7.2292
0,3,"male",4,3,2,"Unknown","S",27.9
0,1,"male",29.7,0,0,"Unknown","C",27.7208
1,3,"male",29.7,1,1,"Unknown","C",15.2458
0,3,"male",19,0,0,"Unknown","S",8.1583
0,3,"male",26,2,0,"Unknown","S",8.6625
0,2,"male",32,0,0,"Unknown","S",10.5
0,2,"male",21,0,0,"Unknown","S",73.5
0,3,"male",26,1,0,"Unknown","C",14.4542
1,3,"male",32,0,0,"Unknown","S",56.4958
0,3,"male",29.7,0,0,"Unknown","S",7.8958
0,3,"male",29.7,0,0,"Unknown","S",8.05
1,2,"male",0.83,0,2,"Unknown","S",29
0,3,"male",22,0,0,"Unknown","S",9
1,3,"male",29,0,0,"Unknown","S",9.5
0,1,"male",28,0,0,"Unknown","S",47.1
0,3,"male",16,1,3,"Unknown","S",34.375
0,3,"male",29.7,0,0,"Unknown","S",8.05
0,3,"male",24,0,0,"Unknown","S",8.05
0,3,"male",29,0,0,"Unknown","S",8.05
0,3,"male",20,0,0,"Unknown","S",7.8542
0,3,"male",26,1,2,"Unknown","S",20.575
0,3,"male",59,0,0,"Unknown","S",7.25
0,3,"male",29.7,0,0,"Unknown","S",8.05
0,2,"male",34,1,0,"Unknown","S",26
0,3,"male",29.7,0,0,"Unknown","S",7.8958
0,3,"male",33,0,0,"Unknown","S",8.6542
0,3,"male",37,2,0,"Unknown","S",7.925
0,3,"male",28,0,0,"Unknown","S",7.8958
1,3,"male",29.7,0,0,"Unknown","S",7.775
0,3,"male",38,0,0,"Unknown","S",7.8958
0,3,"male",22,0,0,"Unknown","S",8.05
0,3,"male",21,0,0,"Unknown","S",7.925
0,3,"male",70.5,0,0,"Unknown","Q",7.75
0,2,"male",29,1,0,"Unknown","S",21
0,2,"male",21,2,0,"Unknown","S",73.5
0,3,"male",29.7,0,0,"Unknown","S",8.05
0,2,"male",32.5,1,0,"Unknown","C",30.0708
1,3,"male",12,1,0,"Unknown","C",11.2417
0,3,"male",29.7,0,0,"Unknown","Q",7.75
1,3,"male",24,0,0,"Unknown","S",7.1417
0,3,"male",45,0,0,"Unknown","S",6.975
0,3,"male",33,0,0,"Unknown","C",7.8958
0,3,"male",20,0,0,"Unknown","S",7.05
0,2,"male",25,0,0,"Unknown","S",13
0,2,"male",23,0,0,"Unknown","C",15.0458
0,3,"male",16,0,0,"Unknown","S",9.2167
0,3,"male",19,0,0,"Unknown","Q",6.75
0,2,"male",18,0,0,"Unknown","S",11.5
0,2,"male",19,1,1,"Unknown","S",36.75
1,3,"male",27,0,0,"Unknown","S",7.7958
0,2,"male",42,0,0,"Unknown","S",13
0,2,"male",51,0,0,"Unknown","S",12.525
0,3,"male",55.5,0,0,"Unknown","S",8.05
0,3,"male",40.5,0,2,"Unknown","S",14.5
0,3,"male",29.7,0,0,"Unknown","S",7.3125
0,1,"male",51,0,1,"Unknown","C",61.3792
0,3,"male",30,0,0,"Unknown","S",8.05
0,3,"male",29.7,0,0,"Unknown","S",8.6625
0,3,"male",29.7,8,2,"Unknown","S",69.55
0,3,"male",44,0,1,"Unknown","S",16.1
0,3,"male",26,0,0,"Unknown","S",7.775
0,3,"male",17,0,0,"Unknown","S",8.6625
0,3,"male",1,4,1,"Unknown","S",39.6875
1,3,"male",9,0,2,"Unknown","S",20.525
0,1,"male",29.7,0,0,"Unknown","S",25.925
0,3,"male",28,0,0,"Unknown","S",56.4958
0,3,"male",4,4,1,"Unknown","Q",29.125
0,3,"male",21,0,0,"Unknown","S",7.925
0,3,"male",18,1,1,"Unknown","S",7.8542
0,3,"male",29.7,3,1,"Unknown","S",25.4667
0,2,"male",30,0,0,"Unknown","S",13
0,3,"male",36,0,0,"Unknown","S",0
0,2,"male",29.7,0,0,"Unknown","C",15.05
0,3,"male",9,4,2,"Unknown","S",31.3875
1,1,"male",45,0,0,"Unknown","S",26.55
0,3,"male",40,1,1,"Unknown","Q",15.5
0,3,"male",36,0,0,"Unknown","S",7.8958
0,2,"male",19,0,0,"Unknown","S",13
0,3,"male",29.7,0,0,"Unknown","Q",7.75
0,3,"male",42,0,1,"Unknown","S",8.4042
0,3,"male",28,0,0,"Unknown","S",9.5
0,3,"male",29.7,8,2,"Unknown","S",69.55
0,3,"male",34,0,0,"Unknown","S",6.4958
0,3,"male",45.5,0,0,"Unknown","C",7.225
1,3,"male",18,0,0,"Unknown","S",8.05
0,3,"male",32,1,0,"Unknown","S",15.85
1,3,"male",26,0,0,"Unknown","C",18.7875
0,3,"male",24,0,0,"Unknown","S",7.05
0,3,"male",22,0,0,"Unknown","S",7.25
0,2,"male",30,0,0,"Unknown","S",13
0,3,"male",29.7,1,0,"Unknown","Q",7.75
0,2,"male",42,1,0,"Unknown","S",27
0,2,"male",30,0,0,"Unknown","S",10.5
1,3,"male",16,0,0,"Unknown","S",8.05
0,2,"male",27,0,0,"Unknown","S",13
0,3,"male",51,0,0,"Unknown","S",8.05
0,3,"male",29.7,0,0,"Unknown","S",7.8958
0,3,"male",22,0,0,"Unknown","S",9.35
1,2,"male",19,0,0,"Unknown","S",10.5
0,3,"male",20.5,0,0,"Unknown","S",7.25
0,2,"male",18,0,0,"Unknown","S",13
0,3,"male",29,0,0,"Unknown","S",7.775
0,2,"male",59,0,0,"Unknown","S",13.5
0,2,"male",24,0,0,"Unknown","S",10.5
0,2,"male",44,1,0,"Unknown","S",26
0,2,"male",19,0,0,"Unknown","S",10.5
0,2,"male",33,0,0,"Unknown","S",12.275
0,2,"male",29,0,0,"Unknown","S",10.5
0,3,"male",22,0,0,"Unknown","S",7.125
0,3,"male",30,0,0,"Unknown","C",7.225
0,2,"male",54,1,0,"Unknown","S",26
0,3,"male",29.7,0,0,"Unknown","S",7.25
0,3,"male",30,1,0,"Unknown","S",16.1
0,3,"male",29.7,0,0,"Unknown","Q",7.75
1,3,"male",3,4,2,"Unknown","S",31.3875
0,2,"male",36,0,0,"Unknown","S",10.5
0,3,"male",16,4,1,"Unknown","S",39.6875
1,3,"male",25,1,0,"Unknown","S",7.775
0,1,"male",29.7,0,0,"Unknown","S",31
1,3,"male",25,0,0,"Unknown","S",0
0,2,"male",29.7,0,0,"Unknown","S",0
0,3,"male",7,4,1,"Unknown","Q",29.125
0,3,"male",65,0,0,"Unknown","Q",7.75
0,3,"male",28,0,0,"Unknown","S",7.8542
0,3,"male",16,0,0,"Unknown","S",9.5
1,3,"male",19,0,0,"Unknown","S",8.05
0,3,"male",33,0,0,"Unknown","C",8.6625
1,3,"male",30,0,0,"Unknown","S",9.5
0,3,"male",22,0,0,"Unknown","S",7.8958
1,2,"male",42,0,0,"Unknown","S",13
0,3,"male",24,0,0,"Unknown","S",7.8958
0,1,"male",29.7,0,0,"Unknown","C",27.7208
0,3,"male",23.5,0,0,"Unknown","C",7.2292
1,3,"male",29.7,2,0,"Unknown","Q",23.25
0,3,"male",19,0,0,"Unknown","S",0
0,3,"male",29.7,0,0,"Unknown","S",8.05
0,2,"male",30,1,0,"Unknown","C",24
0,3,"male",28,0,0,"Unknown","S",7.8958
0,2,"male",43,1,1,"Unknown","S",26.25
0,2,"male",54,0,0,"Unknown","S",14
0,3,"male",22,0,0,"Unknown","S",7.25
0,3,"male",27,0,0,"Unknown","S",7.8958
0,3,"male",29.7,8,2,"Unknown","S",69.55
0,3,"male",61,0,0,"Unknown","S",6.2375
0,3,"male",16,2,0,"Unknown","S",18
0,3,"male",29.7,0,0,"Unknown","S",7.8958
1,3,"male",45,0,0,"Unknown","S",8.05
0,2,"male",28,0,0,"Unknown","S",13
0,2,"male",25,0,0,"Unknown","S",13
0,2,"male",36,0,0,"Unknown","S",13
1,3,"male",3,1,1,"Unknown","S",15.9
0,3,"male",42,0,0,"Unknown","S",8.6625
0,3,"male",23,0,0,"Unknown","S",9.225
0,3,"male",15,1,1,"Unknown","C",7.2292
0,3,"male",25,1,0,"Unknown","S",17.8
0,3,"male",29.7,0,0,"Unknown","C",7.225
0,3,"male",28,0,0,"Unknown","S",9.5
0,3,"male",40,1,4,"Unknown","S",27.9
0,2,"male",29,1,0,"Unknown","C",27.7208
0,3,"male",35,0,0,"Unknown","S",7.05
0,3,"male",29.7,1,0,"Unknown","Q",15.5
0,3,"male",30,0,0,"Unknown","S",7.25
0,3,"male",18,1,0,"Unknown","S",6.4958
0,3,"male",19,0,0,"Unknown","S",8.05
0,1,"male",22,0,0,"Unknown","C",135.6333
0,3,"male",20,0,0,"Unknown","C",4.0125
0,3,"male",19,0,0,"Unknown","S",7.775
0,3,"male",32,0,0,"Unknown","S",7.925
0,3,"male",29.7,0,0,"Unknown","S",7.8958
0,2,"male",18,0,0,"Unknown","S",73.5
0,3,"male",1,5,2,"Unknown","S",46.9
0,3,"male",29.7,0,0,"Unknown","Q",7.7292
1,3,"male",21,0,0,"Unknown","S",7.7958
0,3,"male",28,2,0,"Unknown","S",7.925
0,3,"male",22,0,0,"Unknown","S",7.7958
0,2,"male",46,0,0,"Unknown","S",26
0,2,"male",23,0,0,"Unknown","S",10.5
1,3,"male",39,0,0,"Unknown","S",7.925
0,3,"male",26,0,0,"Unknown","S",8.05
0,3,"male",28,1,0,"Unknown","S",15.85
0,2,"male",34,1,0,"Unknown","S",21
0,3,"male",51,0,0,"Unknown","S",7.75
1,2,"male",3,1,1,"Unknown","S",18.75
0,3,"male",21,0,0,"Unknown","S",7.775
0,3,"male",29.7,0,0,"Unknown","S",7.8958
0,3,"male",29.7,0,0,"Unknown","Q",6.8583
0,2,"male",29.7,0,0,"Unknown","S",0
1,3,"male",44,0,0,"Unknown","S",7.925
0,2,"male",30,0,0,"Unknown","S",13
0,3,"male",29.7,0,0,"Unknown","C",7.8958
0,3,"male",21,0,0,"Unknown","Q",7.7333
0,3,"male",29,0,0,"Unknown","S",7.875
0,3,"male",18,1,1,"Unknown","S",20.2125
0,3,"male",29.7,0,0,"Unknown","S",7.25
0,3,"male",29.7,0,0,"Unknown","Q",7.75
0,3,"male",17,0,0,"Unknown","S",7.125
0,2,"male",31,0,0,"Unknown","S",10.5
0,3,"male",20,0,0,"Unknown","S",9.5
0,3,"male",25,1,0,"Unknown","S",7.775
1,3,"male",29.7,0,0,"Unknown","S",8.1125
1,1,"male",34,0,0,"Unknown","S",26.55
0,2,"male",36,1,2,"Unknown","S",27.75
0,3,"male",29.7,1,0,"Unknown","S",19.9667
0,3,"male",29.7,0,0,"Unknown","S",8.05
1,3,"male",29,0,0,"Unknown","C",7.8958
0,3,"male",29.7,0,0,"Unknown","Q",7.75
0,3,"male",34,0,0,"Unknown","S",8.05
0,2,"male",48,0,0,"Unknown","S",13
0,3,"male",29.7,0,0,"Unknown","S",8.05
0,3,"male",38,0,0,"Unknown","S",7.05
0,2,"male",29.7,0,0,"Unknown","S",0
0,1,"male",56,0,0,"Unknown","S",26.55
0,3,"male",29.7,0,0,"Unknown","Q",7.725
0,3,"male",29.7,0,0,"Unknown","S",7.25
0,3,"male",38,0,0,"Unknown","S",8.6625
0,2,"male",34,1,0,"Unknown","S",21
0,3,"male",29,1,0,"Unknown","S",7.0458
0,3,"male",22,0,0,"Unknown","S",7.5208
0,3,"male",9,5,2,"Unknown","S",46.9
0,2,"male",29.7,0,0,"Unknown","S",0
0,3,"male",50,0,0,"Unknown","S",8.05
0,3,"male",30,0,0,"Unknown","S",8.05
1,3,"male",9,1,1,"Unknown","S",15.9
0,3,"male",29.7,1,0,"Unknown","S",19.9667
0,3,"male",21,0,0,"Unknown","S",7.25
0,1,"male",71,0,0,"Unknown","C",49.5042
0,3,"male",21,0,0,"Unknown","S",8.05
0,3,"male",29.7,0,0,"Unknown","C",14.4583
0,3,"male",29.7,0,0,"Unknown","S",15.1
0,3,"male",24,0,0,"Unknown","S",7.7958
0,3,"male",17,0,0,"Unknown","S",8.6625
1,1,"male",29.7,0,0,"Unknown","S",26.55
0,3,"male",28,0,0,"Unknown","S",22.525
1,3,"male",26,0,0,"Unknown","S",56.4958
1,3,"male",29,0,0,"Unknown","Q",7.75
0,3,"male",29.7,0,0,"Unknown","S",8.05
0,3,"male",24,0,0,"Unknown","S",7.4958
0,3,"male",29.7,0,0,"Unknown","Q",24.15
0,3,"male",32,0,0,"Unknown","S",7.8958
0,3,"male",22,0,0,"Unknown","S",7.8958
0,3,"male",29.7,0,0,"Unknown","C",7.225
0,3,"male",29.7,0,0,"Unknown","C",7.2292
0,3,"male",40.5,0,0,"Unknown","Q",7.75
0,3,"male",39,0,0,"Unknown","S",7.925
0,2,"male",23,2,1,"Unknown","S",11.5
0,3,"male",29.7,0,0,"Unknown","C",7.2292
0,3,"male",17,1,1,"Unknown","C",7.2292
0,3,"male",29.7,0,0,"Unknown","S",14.5
1,2,"male",32,1,0,"Unknown","S",26
0,1,"male",64,0,0,"Unknown","S",26
1,2,"male",29.7,0,0,"Unknown","C",13.8625
0,3,"male",33,1,1,"Unknown","S",20.525
1,2,"male",8,1,1,"Unknown","S",36.75
0,2,"male",27,0,0,"Unknown","S",26
0,3,"male",29.7,0,0,"Unknown","Q",7.8292
1,3,"male",22,0,0,"Unknown","C",7.225
0,1,"male",62,0,0,"Unknown","S",26.55
0,1,"male",29.7,0,0,"Unknown","C",227.525
0,3,"male",29.7,0,0,"Unknown","Q",7.75
0,3,"male",40,0,0,"Unknown","S",7.8958
0,2,"male",28,0,0,"Unknown","S",13.5
0,3,"male",29.7,0,0,"Unknown","S",8.05
0,3,"male",24,2,0,"Unknown","S",24.15
0,3,"male",19,0,0,"Unknown","S",7.8958
0,3,"male",29.7,0,0,"Unknown","C",7.2292
1,3,"male",32,0,0,"Unknown","S",7.8542
1,2,"male",62,0,0,"Unknown","S",10.5
0,3,"male",16,0,0,"Unknown","S",8.05
0,3,"male",19,0,0,"Unknown","S",14.5
1,3,"male",32,0,0,"Unknown","S",7.925
0,2,"male",54,0,0,"Unknown","S",26
0,3,"male",29.7,0,0,"Unknown","C",8.7125
0,2,"male",47,0,0,"Unknown","S",15
0,3,"male",22,0,0,"Unknown","S",8.05
0,3,"male",29.7,0,0,"Unknown","S",8.05
0,3,"male",35,0,0,"Unknown","S",7.125
0,3,"male",47,0,0,"Unknown","S",7.25
0,2,"male",37,1,0,"Unknown","S",26
0,3,"male",36,1,1,"Unknown","S",24.15
0,3,"male",49,0,0,"Unknown","S",0
0,3,"male",29.7,0,0,"Unknown","C",7.225
0,3,"male",29.7,0,0,"Unknown","S",7.8958
0,1,"male",29.7,0,0,"Unknown","S",42.4
0,3,"male",44,0,0,"Unknown","S",8.05
1,1,"male",35,0,0,"Unknown","C",26.55
0,3,"male",36,1,0,"Unknown","S",15.55
0,3,"male",30,0,0,"Unknown","S",7.8958
1,1,"male",27,0,0,"Unknown","S",30.5
0,3,"male",29.7,0,0,"Unknown","S",7.05
0,3,"male",29.7,0,0,"Unknown","Q",7.75
0,3,"male",35,0,0,"Unknown","S",8.05
0,3,"male",34,1,1,"Unknown","S",14.4
0,2,"male",26,0,0,"Unknown","S",10.5
0,3,"male",27,1,0,"Unknown","C",14.4542
1,3,"male",20,1,1,"Unknown","C",15.7417
0,3,"male",21,0,0,"Unknown","S",7.8542
0,3,"male",21,0,0,"Unknown","S",16.1
0,2,"male",57,0,0,"Unknown","Q",12.35
0,3,"male",26,0,0,"Unknown","S",7.8958
0,3,"male",29.7,0,0,"Unknown","Q",7.7333
0,3,"male",51,0,0,"Unknown","S",7.0542
0,1,"male",29.7,0,0,"Unknown","S",0
0,3,"male",32,0,0,"Unknown","S",7.925
0,2,"male",31,1,1,"Unknown","S",26.25
0,3,"male",29.7,1,0,"Unknown","S",16.1
0,3,"male",20,0,0,"Unknown","S",7.8542
1,3,"male",29.7,0,0,"Unknown","S",56.4958
0,3,"male",19,0,0,"Unknown","S",7.8958
0,3,"male",29.7,0,0,"Unknown","S",7.55
0,3,"male",29.7,0,0,"Unknown","S",7.8958
0,3,"male",21,0,0,"Unknown","S",8.4333
0,2,"male",24,2,0,"Unknown","S",73.5
0,3,"male",29.7,0,0,"Unknown","S",7.8958
0,2,"male",23,0,0,"Unknown","S",13
1,1,"male",50,2,0,"Unknown","S",133.65
0,3,"male",40,0,0,"Unknown","C",7.225
0,3,"male",36,0,0,"Unknown","S",7.4958
1,3,"male",20,1,0,"Unknown","S",7.925
0,2,"male",32,2,0,"Unknown","S",73.5
0,2,"male",25,0,0,"Unknown","S",13
0,3,"male",29.7,0,0,"Unknown","S",7.775
0,3,"male",43,0,0,"Unknown","S",8.05
0,2,"male",70,0,0,"Unknown","S",10.5
1,2,"male",31,0,0,"Unknown","S",13
0,2,"male",29.7,0,0,"Unknown","S",0
0,3,"male",18,0,0,"Unknown","S",7.775
0,3,"male",24.5,0,0,"Unknown","S",8.05
0,3,"male",20,0,0,"Unknown","S",9.225
0,3,"male",14,5,2,"Unknown","S",46.9
0,2,"male",60,1,1,"Unknown","S",39
0,2,"male",25,1,2,"Unknown","C",41.5792
0,3,"male",14,4,1,"Unknown","S",39.6875
0,3,"male",19,0,0,"Unknown","S",10.1708
0,3,"male",18,0,0,"Unknown","S",7.7958
1,3,"male",29.7,0,0,"Unknown","S",56.4958
0,3,"male",25,0,0,"Unknown","C",7.225
0,1,"male",60,0,0,"Unknown","S",26.55
0,2,"male",52,0,0,"Unknown","S",13.5
0,3,"male",44,0,0,"Unknown","S",8.05
0,3,"male",25,0,0,"Unknown","Q",7.7417
0,3,"male",26,1,0,"Unknown","S",7.8542
0,2,"male",39,0,0,"Unknown","S",26
1,3,"male",29.7,1,1,"Unknown","C",15.2458
0,3,"male",29,0,0,"Unknown","S",9.4833
0,2,"male",52,0,0,"Unknown","S",13
0,3,"male",29.7,0,0,"Unknown","Q",15.5
0,3,"male",33,0,0,"Unknown","S",7.775
0,3,"male",17,1,0,"Unknown","S",7.0542
0,2,"male",34,0,0,"Unknown","S",13
0,2,"male",50,0,0,"Unknown","S",13
0,3,"male",20,0,0,"Unknown","S",8.6625
0,2,"male",25,1,0,"Unknown","S",26
0,3,"male",11,0,0,"Unknown","C",18.7875
0,2,"male",29.7,0,0,"Unknown","S",0
0,2,"male",23,0,0,"Unknown","S",13
0,2,"male",23,0,0,"Unknown","S",13
0,3,"male",28.5,0,0,"Unknown","S",16.1
0,3,"male",29.7,0,0,"Unknown","S",7.8958
0,3,"male",29.7,0,0,"Unknown","S",7.8958
0,3,"male",24,1,0,"Unknown","S",16.1
1,3,"male",31,0,0,"Unknown","S",7.925
0,3,"male",16,1,1,"Unknown","S",20.25
0,3,"male",31,0,0,"Unknown","Q",7.75
0,3,"male",33,0,0,"Unknown","S",9.5
0,3,"male",23,0,0,"Unknown","S",7.8958
1,2,"male",0.67,1,1,"Unknown","S",14.5
0,3,"male",28,0,0,"Unknown","S",7.7958
0,2,"male",18,0,0,"Unknown","S",11.5
0,3,"male",34,0,0,"Unknown","S",8.05
0,3,"male",29.7,0,0,"Unknown","S",14.5
0,3,"male",41,0,0,"Unknown","S",7.125
1,3,"male",20,0,0,"Unknown","C",7.2292
0,3,"male",16,0,0,"Unknown","S",7.775
0,1,"male",29.7,0,0,"Unknown","C",39.6
0,3,"male",29.7,1,0,"Unknown","Q",24.15
0,3,"male",32,0,0,"Unknown","S",8.3625
0,3,"male",24,0,0,"Unknown","S",9.5
0,3,"male",48,0,0,"Unknown","S",7.8542
0,3,"male",29.7,0,0,"Unknown","C",7.225
0,3,"male",18,0,0,"Unknown","S",7.75
0,3,"male",29.7,0,0,"Unknown","Q",7.7375
0,3,"male",29.7,1,2,"Unknown","S",23.45
0,3,"male",25,0,0,"Unknown","S",7.05
0,3,"male",25,0,0,"Unknown","S",7.25
0,3,"male",8,4,1,"Unknown","Q",29.125
1,3,"male",1,1,2,"Unknown","S",20.575
0,3,"male",29.7,0,0,"Unknown","Q",7.75
0,2,"male",16,0,0,"Unknown","S",26
0,1,"male",29.7,0,0,"Unknown","C",30.6958
0,3,"male",25,0,0,"Unknown","S",7.8958
0,2,"male",39,0,0,"Unknown","S",13
0,3,"male",30,0,0,"Unknown","C",7.2292
0,2,"male",34,0,0,"Unknown","S",13
1,3,"male",0.42,0,1,"Unknown","C",8.5167
1,3,"male",27,0,0,"Unknown","S",6.975
0,3,"male",31,0,0,"Unknown","S",7.775
0,2,"male",39,0,0,"Unknown","S",13
0,3,"male",26,0,0,"Unknown","S",7.8875
0,3,"male",39,0,0,"Unknown","S",24.15
0,2,"male",35,0,0,"Unknown","S",10.5
0,3,"male",30.5,0,0,"Unknown","S",8.05
0,2,"male",31,1,1,"Unknown","C",37.0042
0,3,"male",43,0,0,"Unknown","S",6.45
0,3,"male",10,3,2,"Unknown","S",27.9
1,3,"male",27,0,0,"Unknown","S",8.6625
0,1,"male",38,0,0,"Unknown","S",0
0,3,"male",2,4,1,"Unknown","S",39.6875
0,3,"male",29.7,0,0,"Unknown","Q",6.95
0,3,"male",29.7,0,0,"Unknown","S",56.4958
1,2,"male",1,0,2,"Unknown","C",37.0042
1,3,"male",29.7,0,0,"Unknown","Q",7.75
1,2,"male",0.83,1,1,"Unknown","S",18.75
0,3,"male",29.7,0,0,"Unknown","C",7.2292
0,3,"male",23,0,0,"Unknown","S",7.8542
0,3,"male",18,0,0,"Unknown","S",8.3
0,3,"male",21,0,0,"Unknown","S",8.6625
0,3,"male",29.7,0,0,"Unknown","S",8.05
1,3,"male",32,0,0,"Unknown","S",56.4958
0,3,"male",20,0,0,"Unknown","S",7.925
0,2,"male",16,0,0,"Unknown","S",10.5
0,3,"male",34.5,0,0,"Unknown","C",6.4375
0,3,"male",17,0,0,"Unknown","S",8.6625
0,3,"male",42,0,0,"Unknown","S",7.55
0,3,"male",29.7,8,2,"Unknown","S",69.55
0,3,"male",35,0,0,"Unknown","C",7.8958
0,2,"male",28,0,1,"Unknown","S",33
0,3,"male",4,4,2,"Unknown","S",31.275
0,3,"male",74,0,0,"Unknown","S",7.775
0,3,"male",29.7,0,0,"Unknown","C",7.2292
0,3,"male",41,2,0,"Unknown","S",14.1083
0,2,"male",21,1,0,"Unknown","S",11.5
0,2,"male",24,0,0,"Unknown","S",13
0,3,"male",29.7,0,0,"Unknown","S",9.5
1,3,"male",4,1,1,"Unknown","S",11.1333
0,3,"male",26,0,0,"Unknown","S",7.8958
0,3,"male",47,0,0,"Unknown","S",9
0,3,"male",20,0,0,"Unknown","S",9.8458
0,3,"male",19,0,0,"Unknown","S",7.8958
0,3,"male",29.7,0,0,"Unknown","S",7.8958
0,3,"male",33,0,0,"Unknown","S",7.8958
0,2,"male",28,0,0,"Unknown","S",10.5
0,3,"male",25,0,0,"Unknown","S",7.05
0,2,"male",27,0,0,"Unknown","S",13
0,3,"male",32,0,0,"Unknown","Q",7.75
